"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410079509002021,"Block 2021, Block Group 2, Census Tract 9509, Clatsop County, Oregon",1,0,0,0,0,0,1,0,0,1
410110010011019,"Block 1019, Block Group 1, Census Tract 10.01, Coos County, Oregon",6,0,0,0,0,0,6,0,0,6
410110010021016,"Block 1016, Block Group 1, Census Tract 10.02, Coos County, Oregon",48,0,0,0,0,0,48,0,0,48
410099711003000,"Block 3000, Block Group 3, Census Tract 9711, Columbia County, Oregon",4,0,0,0,0,0,4,0,0,4
410110010012008,"Block 2008, Block Group 2, Census Tract 10.01, Coos County, Oregon",49,0,0,0,0,0,49,0,0,49
410110010012040,"Block 2040, Block Group 2, Census Tract 10.01, Coos County, Oregon",6,0,0,0,0,0,6,0,0,6
410110010023014,"Block 3014, Block Group 3, Census Tract 10.02, Coos County, Oregon",14,0,0,0,0,0,14,0,0,14
410099711003005,"Block 3005, Block Group 3, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099711003009,"Block 3009, Block Group 3, Census Tract 9711, Columbia County, Oregon",3,0,0,0,0,0,3,0,0,3
410099711003024,"Block 3024, Block Group 3, Census Tract 9711, Columbia County, Oregon",12,0,0,0,0,0,12,0,0,12
410099711003046,"Block 3046, Block Group 3, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410099711003057,"Block 3057, Block Group 3, Census Tract 9711, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410110011021250,"Block 1250, Block Group 1, Census Tract 11.02, Coos County, Oregon",8,0,0,0,0,0,8,0,0,8
410191700001034,"Block 1034, Block Group 1, Census Tract 1700, Douglas County, Oregon",1,0,0,0,0,0,1,0,0,1
410170016011014,"Block 1014, Block Group 1, Census Tract 16.01, Deschutes County, Oregon",21,0,0,0,0,0,21,0,0,21
410190500031002,"Block 1002, Block Group 1, Census Tract 500.03, Douglas County, Oregon",4,0,0,0,0,0,4,0,0,4
410110011023003,"Block 3003, Block Group 3, Census Tract 11.02, Coos County, Oregon",18,0,0,0,0,0,18,0,0,18
410170013012016,"Block 2016, Block Group 2, Census Tract 13.01, Deschutes County, Oregon",11,0,0,0,0,0,11,0,0,11
410079509003017,"Block 3017, Block Group 3, Census Tract 9509, Clatsop County, Oregon",2,0,0,0,0,0,2,0,0,2
410170006011003,"Block 1003, Block Group 1, Census Tract 6.01, Deschutes County, Oregon",8,0,0,0,0,0,8,0,0,8
410190800012011,"Block 2011, Block Group 2, Census Tract 800.01, Douglas County, Oregon",50,0,0,0,0,0,50,0,0,50
410170016012018,"Block 2018, Block Group 2, Census Tract 16.01, Deschutes County, Oregon",16,0,0,0,0,0,16,0,0,16
410190800012031,"Block 2031, Block Group 2, Census Tract 800.01, Douglas County, Oregon",94,0,0,0,0,0,94,0,0,94
410170016021022,"Block 1022, Block Group 1, Census Tract 16.02, Deschutes County, Oregon",2,0,0,0,0,0,2,0,0,2
410170016021033,"Block 1033, Block Group 1, Census Tract 16.02, Deschutes County, Oregon",8,0,0,0,0,0,8,0,0,8
410170016021035,"Block 1035, Block Group 1, Census Tract 16.02, Deschutes County, Oregon",16,0,0,0,0,0,16,0,0,16
410191200012031,"Block 2031, Block Group 2, Census Tract 1200.01, Douglas County, Oregon",32,0,0,0,0,0,32,0,0,32
410191200012049,"Block 2049, Block Group 2, Census Tract 1200.01, Douglas County, Oregon",13,0,0,0,0,0,13,0,0,13
410170002012042,"Block 2042, Block Group 2, Census Tract 2.01, Deschutes County, Oregon",44,0,0,0,0,0,44,0,0,44
410170002012052,"Block 2052, Block Group 2, Census Tract 2.01, Deschutes County, Oregon",6,0,0,0,0,0,6,0,0,6
410170012003037,"Block 3037, Block Group 3, Census Tract 12, Deschutes County, Oregon",77,0,0,0,0,0,77,0,0,77
410170008003012,"Block 3012, Block Group 3, Census Tract 8, Deschutes County, Oregon",6,0,0,0,0,0,6,0,0,6
410079509004019,"Block 4019, Block Group 4, Census Tract 9509, Clatsop County, Oregon",9,0,0,0,0,0,9,0,0,9
410079509004029,"Block 4029, Block Group 4, Census Tract 9509, Clatsop County, Oregon",18,0,0,0,0,0,18,0,0,18
410079503001017,"Block 1017, Block Group 1, Census Tract 9503, Clatsop County, Oregon",12,0,0,0,0,0,12,0,0,12
410190800021000,"Block 1000, Block Group 1, Census Tract 800.02, Douglas County, Oregon",2,0,0,0,0,0,2,0,0,2
410190800011003,"Block 1003, Block Group 1, Census Tract 800.01, Douglas County, Oregon",5,0,0,0,0,0,5,0,0,5
410190800022001,"Block 2001, Block Group 2, Census Tract 800.02, Douglas County, Oregon",106,0,0,0,0,0,106,0,0,106
410190400002036,"Block 2036, Block Group 2, Census Tract 400, Douglas County, Oregon",6,0,0,0,0,0,6,0,0,6
410170017011001,"Block 1001, Block Group 1, Census Tract 17.01, Deschutes County, Oregon",5,0,0,0,0,0,5,0,0,5
410170017011003,"Block 1003, Block Group 1, Census Tract 17.01, Deschutes County, Oregon",6,0,0,0,0,0,6,0,0,6
410079509001007,"Block 1007, Block Group 1, Census Tract 9509, Clatsop County, Oregon",9,0,0,0,0,0,9,0,0,9
410099702011009,"Block 1009, Block Group 1, Census Tract 9702.01, Columbia County, Oregon",3,0,0,0,0,0,3,0,0,3
410099702011013,"Block 1013, Block Group 1, Census Tract 9702.01, Columbia County, Oregon",1,0,0,0,0,0,1,0,0,1
410190800011008,"Block 1008, Block Group 1, Census Tract 800.01, Douglas County, Oregon",8,0,0,0,0,0,8,0,0,8
410170017011017,"Block 1017, Block Group 1, Census Tract 17.01, Deschutes County, Oregon",4,0,0,0,0,0,4,0,0,4
410191200023016,"Block 3016, Block Group 3, Census Tract 1200.02, Douglas County, Oregon",13,0,0,0,0,0,13,0,0,13
410079513001074,"Block 1074, Block Group 1, Census Tract 9513, Clatsop County, Oregon",1,0,0,0,0,0,1,0,0,1
410099702011034,"Block 1034, Block Group 1, Census Tract 9702.01, Columbia County, Oregon",2,0,0,0,0,0,2,0,0,2
410079503003022,"Block 3022, Block Group 3, Census Tract 9503, Clatsop County, Oregon",22,0,0,0,0,0,22,0,0,22
410191000003723,"Block 3723, Block Group 3, Census Tract 1000, Douglas County, Oregon",2,0,0,0,0,0,2,0,0,2
410170011022036,"Block 2036, Block Group 2, Census Tract 11.02, Deschutes County, Oregon",35,0,0,0,0,0,35,0,0,35
410170017021003,"Block 1003, Block Group 1, Census Tract 17.02, Deschutes County, Oregon",4,0,0,0,0,0,4,0,0,4
410191200024010,"Block 4010, Block Group 4, Census Tract 1200.02, Douglas County, Oregon",8,0,0,0,0,0,8,0,0,8
