GEOID,HH,POP,HH_Occ,GQ_Inst,GQ_Non,GP
410379601003542,0,0,0,0,0,0
410110008002044,0,0,0,0,0,0
410190700002077,3,6,3,0,0,6
410190700002103,0,0,0,0,0,0
410190100001031,0,0,0,0,0,0
410190100001057,4,8,4,0,0,8
410190700002170,6,16,6,0,0,16
410099706004045,0,0,0,0,0,0
410110009022016,13,28,13,0,0,28
410190100001101,0,0,0,0,0,0
410190100001126,10,12,9,0,0,12
410190700003040,3,7,3,0,0,7
410110010011036,2,6,2,0,0,6
410110010012046,0,0,0,0,0,0
410110010013042,2,8,2,0,0,8
410190100001209,0,0,0,0,0,0
410110010021055,0,0,0,0,0,0
410110010023027,27,59,22,0,0,59
410110010024002,4,6,4,0,0,6
410170001001076,8,16,8,0,0,16
410170001001129,0,0,0,0,0,0
410170001001167,0,0,0,0,0,0
410190100002020,0,0,0,0,0,0
410190100002048,20,23,20,0,0,23
410110010024045,0,0,0,0,0,0
410110010024104,6,18,6,0,0,18
410110011011047,0,0,0,0,0,0
410170001001215,0,0,0,0,0,0
410170001001268,0,0,0,0,0,0
410170001001319,0,0,0,0,0,0
410190200002004,8,21,8,0,0,21
410190200002029,13,32,13,0,0,32
410110001011005,0,0,0,0,0,0
410019506003383,0,0,0,0,0,0
410050203021000,105,81,61,0,0,81
410050203022021,1,5,1,0,0,5
410050222051012,0,0,0,0,0,0
410050222061007,71,164,70,0,0,164
410019504003029,8,23,8,0,0,23
410019505001044,0,0,0,0,0,0
410030001013013,2,6,0,0,0,6
410050222084008,23,75,23,0,0,75
410050203041013,37,121,37,0,0,121
410050204012009,128,224,121,0,0,224
410050204013041,1,7,1,0,0,7
410050222081001,4,8,4,0,0,8
410019505001099,4,3,4,0,0,3
410019505001152,6,8,6,0,0,8
410019505002012,0,0,0,0,0,0
410333616022102,40,94,34,0,0,94
410333616022121,0,0,0,0,0,0
410192000004002,2,10,2,0,0,10
410192000004054,3,7,3,0,0,7
410192100001030,0,0,0,0,0,0
410239601002122,0,0,0,0,0,0
