"BLOCK","HH","POP","HH_Occ","GQ_Inst","GQ_Non","GP"
530110410111010,21,80,21,0,0,80
530110410111011,82,196,82,0,0,196
530110410111013,44,119,44,0,0,119
530110410111014,3,26,3,0,0,26
530110410111016,9,19,9,0,0,19
530110410111018,64,160,64,0,0,160
530110410111020,73,151,69,0,0,151
530110410111021,22,55,16,0,0,55
530110410111023,98,236,98,0,0,236
530110410111024,91,226,88,0,0,226
530110410112001,50,102,48,0,0,102
530110410112002,54,121,49,0,0,121
530110410112003,7,17,7,0,0,17
530110410112005,34,93,34,11,0,82
530110410112006,190,464,190,0,9,455
530110410112008,23,62,23,0,0,62
530110410112009,18,55,18,0,0,55
530110423001001,20,48,20,0,0,48
530110423001002,9,28,9,0,0,28
530110423001003,67,128,60,0,0,128
530110423001005,13,33,13,0,0,33
530110423001006,26,47,26,0,0,47
530110423001008,12,21,12,0,0,21
530110423001009,15,34,15,0,0,34
530110423001011,11,19,10,0,0,19
530110423001012,13,29,13,0,0,29
530110423001014,14,23,14,0,0,23
530110423001015,8,19,8,0,0,19
530110423001016,9,24,9,0,0,24
530110423001019,16,36,16,0,0,36
530110423001021,9,27,9,0,0,27
530110423001024,1,15,1,0,0,15
530110423001025,8,37,0,0,0,37
530110423001026,24,34,24,0,0,34
530110423001027,19,34,10,0,0,34
530110423001028,12,35,12,0,0,35
530110423001029,1,9,0,0,3,6
530110423001031,4,5,4,0,0,5
530110423001032,76,102,76,0,0,102
530110423001033,3,13,3,0,0,13
530110423001034,32,44,32,0,0,44
530110423002000,167,164,130,0,0,164
530110423002002,24,36,24,0,0,36
530110423002003,6,15,3,0,0,15
530110423002008,16,30,14,0,0,30
530110423002009,264,252,213,0,0,252
530110423002012,0,15,0,0,15,0
530110423002013,0,6,0,0,6,0
530110424001001,1,4,1,0,0,4
530110424001003,7,10,7,0,0,10
530110424001005,0,298,0,298,0,0
530110424001007,3,26,3,0,7,19
530110424001009,6,73,0,0,49,24
530110424001019,1,18,0,0,0,18
530110424001022,7,17,7,0,0,17
530110424001025,1,10,1,0,0,10
530110424001033,31,38,30,0,0,38
530110424001036,67,83,54,0,0,83
530110424001038,26,40,16,0,0,40
530110424002001,223,274,198,0,0,274
530110424002002,0,11,0,0,11,0
530110424002003,160,176,141,0,0,176
530110410112011,49,74,49,0,0,74
530110410112014,18,66,18,0,0,66
530110410112015,46,117,46,0,0,117
530110411041000,213,610,213,0,0,610
530110411041001,6,37,0,0,0,37
530110411041002,17,48,17,0,0,48
530110411041003,11,45,11,0,0,45
530110411041004,24,81,24,0,0,81
530110411041005,18,58,18,0,0,58
530110411041006,13,55,13,0,0,55
530110411041007,19,69,19,0,0,69
530110411041009,12,40,1,0,0,40
530110411041010,40,115,40,0,0,115
530110411041011,64,198,64,0,0,198
530110411041013,130,328,130,0,0,328
530110411041014,84,263,80,0,23,240
530110411041016,17,53,17,0,0,53
530110411041017,7,24,7,0,0,24
530110411041018,26,67,26,0,0,67
530110411042001,22,73,22,0,0,73
530110411042002,66,157,66,0,0,157
530110411042004,43,124,43,0,0,124
530110411042005,26,82,26,0,0,82
530110411042007,8,51,5,0,0,51
530110411042008,6,24,4,0,0,24
530110411042009,10,19,9,0,0,19
530110411042011,42,130,42,0,0,130
530110411042012,4,27,4,0,0,27
530110411042014,4,31,4,0,0,31
530110411042015,2,5,2,0,0,5
530110411042017,20,53,15,0,0,53
530110411042018,1,18,1,0,0,18
530110411051002,69,165,69,0,0,165
530110411053003,73,183,56,0,0,183
530110411053004,305,680,305,0,0,680
530110411053007,18,45,18,0,0,45
530110411053008,96,326,96,0,0,326
530110411053009,1,24,1,0,0,24
530110411054000,35,119,35,0,0,119
530110411054001,37,86,37,0,0,86
530110411054002,77,193,77,0,0,193
530110411054004,17,53,17,0,0,53
530110411054007,53,133,53,0,0,133
530110411054008,129,357,129,0,0,357
530110411054011,41,93,41,0,0,93
530110411054014,1,16,0,0,0,16
530110411054017,10,48,10,0,0,48
530110423003000,20,27,20,0,0,27
530110423003001,13,21,12,0,0,21
530110423003003,8,35,8,0,0,35
530110423003004,13,40,13,0,0,40
530110423003007,16,32,16,0,0,32
530110423003008,9,25,9,0,0,25
530110423003010,18,43,18,0,0,43
530110423003011,11,28,11,0,0,28
530110423003013,10,28,10,0,0,28
530110423003014,11,33,11,0,0,33
530110424002010,62,56,48,0,0,56
530110424002011,202,229,188,0,0,229
530110424002023,1,10,0,0,0,10
530110425001000,46,75,46,0,0,75
530110425001001,11,31,9,0,0,31
530110425001002,10,16,10,0,0,16
530110425001004,9,20,3,0,0,20
530110425001005,11,32,11,0,0,32
530110425001008,37,38,37,0,0,38
530110425001010,9,29,9,0,0,29
530110425001011,12,19,12,0,0,19
530110425001013,11,17,11,0,0,17
530110425001014,10,20,8,0,0,20
530110425001015,11,29,11,0,0,29
530110425001018,33,37,33,0,0,37
530110425001020,11,32,11,0,0,32
530110425001021,11,25,11,0,0,25
530110425001023,13,21,13,0,0,21
530110425001025,32,33,32,0,0,33
530110425001026,13,36,13,0,0,36
530110425001027,22,24,22,0,0,24
530110411051004,28,78,28,0,0,78
530110411051005,64,163,64,0,0,163
530110411051007,23,45,23,0,0,45
530110411051008,11,32,11,0,0,32
530110411051010,15,42,15,0,0,42
530110411051011,14,41,14,0,9,32
530110411051012,17,59,17,0,0,59
530110411051013,24,71,24,0,0,71
530110411051014,48,113,46,0,0,113
530110411051015,19,62,19,0,0,62
530110411052000,110,267,98,0,0,267
530110411052001,38,107,37,0,0,107
530110411052002,18,51,6,0,0,51
530110411052003,122,255,122,0,0,255
530110411052004,16,37,12,0,0,37
530110411052005,110,340,110,0,0,340
530110411052006,34,89,34,0,0,89
530110411052007,133,253,105,0,0,253
530110411052008,157,353,153,0,0,353
530110411052009,6,23,5,0,0,23
