"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410619707002014,"Block 2014, Block Group 2, Census Tract 9707, Union County, Oregon",116,0,0,0,0,0,116,116,0,0
410710302013001,"Block 3001, Block Group 3, Census Tract 302.01, Yamhill County, Oregon",18,0,0,0,0,0,18,18,0,0
410710302014005,"Block 4005, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",524,0,0,0,0,0,524,524,0,0
410710302014006,"Block 4006, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",396,0,0,0,0,0,396,396,0,0
410710302014007,"Block 4007, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",27,0,0,0,0,0,27,27,0,0
410710302014009,"Block 4009, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",19,0,0,0,0,0,19,19,0,0
410710302014010,"Block 4010, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",18,0,0,0,0,0,18,18,0,0
410710302014013,"Block 4013, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",17,0,0,0,0,0,17,17,0,0
410670332021001,"Block 1001, Block Group 1, Census Tract 332.02, Washington County, Oregon",481,0,0,0,0,0,481,481,0,0
410670332021005,"Block 1005, Block Group 1, Census Tract 332.02, Washington County, Oregon",535,0,0,0,0,0,535,535,0,0
410110005021016,"Block 1016, Block Group 1, Census Tract 5.02, Coos County, Oregon",16,0,0,0,0,0,16,16,0,0
410110005032004,"Block 2004, Block Group 2, Census Tract 5.03, Coos County, Oregon",32,0,0,0,0,0,32,32,0,0
410170014012036,"Block 2036, Block Group 2, Census Tract 14.01, Deschutes County, Oregon",87,0,0,0,0,0,87,87,0,0
410030011022018,"Block 2018, Block Group 2, Census Tract 11.02, Benton County, Oregon",11,0,0,0,0,0,11,11,0,0
410030011022031,"Block 2031, Block Group 2, Census Tract 11.02, Benton County, Oregon",12,0,0,0,0,0,12,12,0,0
410030011024013,"Block 4013, Block Group 4, Census Tract 11.02, Benton County, Oregon",3,0,0,0,0,0,3,3,0,0
410379601001417,"Block 1417, Block Group 1, Census Tract 9601, Lake County, Oregon",13,0,0,0,0,0,13,13,0,0
410030011013008,"Block 3008, Block Group 3, Census Tract 11.01, Benton County, Oregon",40,0,0,0,0,0,40,40,0,0
410030011014003,"Block 4003, Block Group 4, Census Tract 11.01, Benton County, Oregon",25,0,0,0,0,0,25,25,0,0
410030106022006,"Block 2006, Block Group 2, Census Tract 106.02, Benton County, Oregon",1035,0,0,0,0,0,1035,1035,0,0
410030106022013,"Block 2013, Block Group 2, Census Tract 106.02, Benton County, Oregon",277,0,0,0,0,0,277,277,0,0
410030107021014,"Block 1014, Block Group 1, Census Tract 107.02, Benton County, Oregon",232,0,0,0,0,0,232,232,0,0
410290019001000,"Block 1000, Block Group 1, Census Tract 19, Jackson County, Oregon",211,0,0,0,0,0,211,211,0,0
410030107022009,"Block 2009, Block Group 2, Census Tract 107.02, Benton County, Oregon",201,0,0,0,0,0,201,201,0,0
410390038021015,"Block 1015, Block Group 1, Census Tract 38.02, Lane County, Oregon",350,0,0,0,0,0,350,350,0,0
410390038013007,"Block 3007, Block Group 3, Census Tract 38.01, Lane County, Oregon",27,0,0,0,0,0,27,27,0,0
410510036021022,"Block 1022, Block Group 1, Census Tract 36.02, Multnomah County, Oregon",188,0,0,0,0,0,188,188,0,0
410510036022001,"Block 2001, Block Group 2, Census Tract 36.02, Multnomah County, Oregon",86,0,0,0,0,0,86,86,0,0
410470027013015,"Block 3015, Block Group 3, Census Tract 27.01, Marion County, Oregon",8,0,0,0,0,0,8,8,0,0
410510056022004,"Block 2004, Block Group 2, Census Tract 56.02, Multnomah County, Oregon",61,0,0,0,0,0,61,61,0,0
410510056023000,"Block 3000, Block Group 3, Census Tract 56.02, Multnomah County, Oregon",201,0,0,0,0,0,201,201,0,0
410470002003055,"Block 3055, Block Group 3, Census Tract 2, Marion County, Oregon",164,0,0,0,0,0,164,164,0,0
410510040021020,"Block 1020, Block Group 1, Census Tract 40.02, Multnomah County, Oregon",802,0,0,0,0,0,802,802,0,0
410510040021036,"Block 1036, Block Group 1, Census Tract 40.02, Multnomah County, Oregon",479,0,0,0,0,0,479,479,0,0
410710302014077,"Block 4077, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",18,0,0,0,0,0,18,18,0,0
410710302014004,"Block 4004, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",161,0,0,0,0,0,161,161,0,0
410710302014008,"Block 4008, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",34,0,0,0,0,0,34,34,0,0
410710302014011,"Block 4011, Block Group 4, Census Tract 302.01, Yamhill County, Oregon",11,0,0,0,0,0,11,11,0,0
410710308021018,"Block 1018, Block Group 1, Census Tract 308.02, Yamhill County, Oregon",38,0,0,0,0,0,38,38,0,0
410710308022024,"Block 2024, Block Group 2, Census Tract 308.02, Yamhill County, Oregon",244,0,0,0,0,0,244,244,0,0
