"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,1,8,6,0,6,1,5,3,8,13,4,5,12,11,6,1,7,23
1301,1,10,8,0,7,2,9,3,7,18,7,8,18,13,8,1,10,30
1302,34,51,45,34,51,17,30,21,59,134,42,48,119,95,55,14,59,224
1303,74,29,56,101,62,23,11,10,77,180,55,54,154,121,70,21,72,294
1304,24,26,23,38,32,4,5,4,31,83,25,17,65,52,31,8,22,134
1305,52,56,53,81,70,11,14,11,66,169,50,63,146,117,67,18,79,269
1306,19,56,36,26,51,9,25,17,39,112,47,41,103,80,45,11,63,176
1307,5,16,11,4,18,8,11,7,21,39,10,10,34,25,17,4,16,64
1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,15,8,5,5,11,10,5,1,5,40,5,10,28,19,11,2,15,45
1310,19,11,8,13,25,18,9,4,21,50,17,19,45,37,20,5,23,84
1311,7,2,0,0,2,0,0,0,4,5,2,0,6,3,2,0,2,9
1312,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1313,4,1,1,0,3,1,1,0,3,3,2,3,4,5,2,0,2,9
1314,1,1,0,0,2,0,0,0,0,4,0,0,1,3,0,0,1,3
1315,9,4,2,2,3,3,2,0,7,12,5,1,10,8,6,1,3,22
1316,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
1317,2,5,3,6,12,3,2,0,6,19,2,6,10,14,8,1,7,26
1318,2,6,2,4,8,5,1,0,7,18,1,2,10,11,6,1,4,24
1319,0,1,1,0,2,0,1,0,0,4,0,1,1,3,1,0,2,3
1320,4,7,4,7,9,4,2,0,5,25,2,5,10,17,9,1,7,30
